"","title","artist","price","classification","url"
"703","Coach David Shaw","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/coach-david-shaw-greg-joens.jpg"
"704","Tension","Andrew Hitchen","$16","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tension-andrew-hitchen.jpg"
"705","Ballet Sketch Two Dancers Mirror Image","Beverly Brown Prints","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ballet-sketch-two-dancers-mirror-image-beverly-brown-prints.jpg"
"706","Lady Liberty","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/lady-liberty-greg-joens.jpg"
"707","Rosa Parks","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/rosa-parks-greg-joens.jpg"
"708","Elizabeth Berkley","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/elizabeth-berkley-greg-joens.jpg"
"709","Trump, Ryan, Ted, Full House","Ylli Haruni","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/trump-ryan-ted-full-house-ylli-haruni.jpg"
"710","Daryl M. Chapin","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/daryl-m-chapin-greg-joens.jpg"
"711","Guitar","Andrew Hitchen","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/guitar-andrew-hitchen.jpg"
"712","Edwin Hubbell Chapin","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/edwin-hubbell-chapin-greg-joens.jpg"
"713","Alicia Keys 2","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/alicia-keys-2-greg-joens.jpg"
"714","Alicia Keys","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/alicia-keys-greg-joens.jpg"
"715","Walken","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/walken-greg-joens.jpg"
"716","Gregory Jbara","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/gregory-jbara-greg-joens.jpg"
"717","A Whisper","Patricia Ariel","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/a-whisper-patricia-ariel.jpg"
"718","Trump White Tower","Ylli Haruni","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/trump-white-tower-ylli-haruni.jpg"
"719","Three Black Stars","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/three-black-stars-giuseppe-cristiano.jpg"
"720","Leonardo Dicaprio","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/leonardo-dicarprio-greg-joens.jpg"
"721","John Heisman","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/john-heisman-greg-joens.jpg"
"722","Sam Elliott","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/sam-elliott-greg-joens.jpg"
"723","Tommy Bowden","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tommy-bowden-greg-joens.jpg"
"724","Bob Crane","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/bob-crane-greg-joens.jpg"
"725","John Wayne","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-john-wayne-greg-joens.jpg"
"726","The Boy In The Snow Globe","Andrew Hitchen","$18","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-boy-in-the-snow-globe-andrew-hitchen.jpg"
"727","Muschamp Gamecocks","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/muschamp-gamecocks-greg-joens.jpg"
"728","Will Muschamp 2","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/will-muschamp-2-greg-joens.jpg"
"729","Will Muschamp","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-will-muschamp-greg-joens.jpg"
"730","Panic Attack","Andrew Hitchen","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/panic-attack-andrew-hitchen.jpg"
"731","Kenny Baker R2d2","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/kenny-baker-r2d2-greg-joens.jpg"
"732","Marty Feldman","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/marty-feldman-greg-joens.jpg"
"733","Bighorn Ram","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/bighorn-ram-greg-joens.jpg"
"734","Will Muschamp","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/will-muschamp-greg-joens.jpg"
"735","Golden Age Montage","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/golden-age-montage-greg-joens.jpg"
"736","Squirrel","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/squirrel-greg-joens.jpg"
"737","James Brolin","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/james-brolin-greg-joens.jpg"
"738","Climate Change","Andrew Hitchen","$18","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/climate-change-andrew-hitchen.jpg"
"739","American Bison","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/american-bison-greg-joens.jpg"
"740","Inky Village Sketch Ball- Art By Linda Woods","Linda Woods","$22","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/inky-village-sketch-ball-art-by-linda-woods-linda-woods.jpg"
"741","Aaron Murray","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/aaron-murray-greg-joens.jpg"
"742","Cosmo Kramer","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/cosmo-kramer-greg-joens.jpg"
"743","Tribute To Caddyshack","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/tribute-to-caddyshack-greg-joens.jpg"
"744","Agent 99","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/agent-99-greg-joens.jpg"
"745","Insomnia Jeopardy","Roz Chast","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/134-untitled-roz-chast.jpg"
"746","Spanky","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/spanky-greg-joens.jpg"
"747","Windmill At Valmy","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/windmill-at-valmy-greg-joens.jpg"
"748","Hayden Fry","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/hayden-fry-greg-joens.jpg"
"749","Dogs At A Meeting","Mike Twohy","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/dogs-at-a-meeting-mike-twohy.jpg"
"750","Yoga Mat","Andrew Hitchen","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/yoga-mat-andrew-hitchen.jpg"
"751","Jeff Goldblum","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/jeff-goldblum-greg-joens.jpg"
"752","Staring In Anger","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/staring-in-anger-giuseppe-cristiano.jpg"
"753","Shoes 8","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/shoes-8-giuseppe-cristiano.jpg"
"754","Tough","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tough-giuseppe-cristiano.jpg"
"755","The Haunted Snow Globe","Andrew Hitchen","$19","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-haunted-snow-globe-andrew-hitchen.jpg"
"756","Jim Byers","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/jim-byers-greg-joens.jpg"
"757","Billy Bob Thornton","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/billy-bob-thornton-greg-joens.jpg"
"758","John Huston","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/john-huston-greg-joens.jpg"
"759","Doc Watson","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-doc-watson-greg-joens.jpg"
"760","Dinner Time","Balazs Solti","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/dinner-time-balazs-solti.jpg"
"761","The Snowstorm","Andrew Hitchen","$19","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-snowstorm-andrew-hitchen.jpg"
"762","Garry Marshall","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/garry-marshall-greg-joens.jpg"
"763","Hopscotch","Andrew Hitchen","$19","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/hopscotch-andrew-hitchen.jpg"
"764","Marlows Market","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/marlows-market-greg-joens.jpg"
"765","Simpsonville Umc","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/simpsonville-umc-greg-joens.jpg"
"766","Daniel Hs","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/daniel-hs-greg-joens.jpg"
"767","One Bullet Fife","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/one-bullet-fife-greg-joens.jpg"
"768","Armadillo","Eric Fan","$20","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/armadillo-eric-fan.jpg"
"769","Andy Devine","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/andy-devine-greg-joens.jpg"
"770","Tillman Hall","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tillman-hall-greg-joens.jpg"
"771","Tc Alexander Store","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tc-alexander-store-greg-joens.jpg"
"772","Groucho Marx","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/groucho-marx-greg-joens.jpg"
"773","Harry Morgan","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/harry-morgan-greg-joens.jpg"
"774","Jay North","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/jay-north-greg-joens.jpg"
"775","Trump","Ylli Haruni","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-trump-ylli-haruni.jpg"
"776","Urban Meyer","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/urban-meyer-greg-joens.jpg"
"777","Charlotte Rae","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/charlotte-rae-greg-joens.jpg"
"778","Jack Benny","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/jack-benny-greg-joens.jpg"
"779","Stana Katic","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/stana-katic-greg-joens.jpg"
"780","Keri Russell","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/keri-russell-greg-joens.jpg"
"781","Hair In Black","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/hair-in-black-giuseppe-cristiano.jpg"
"782","Ride / Text","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ride-text-giuseppe-cristiano.jpg"
"783","Ride","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ride-giuseppe-cristiano.jpg"
"784","Slim Pickens","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/slim-pickens-greg-joens.jpg"
"785","Kurt Russell","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/kurt-russell-greg-joens.jpg"
