"","title","artist","price","classification","url"
"824","Wacka Wacka","Giuseppe Cristiano","$42","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/wacka-wacka-giuseppe-cristiano.jpg"
"825","Glen Campbell","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/glen-campbell-greg-joens.jpg"
"826","Crooked Trump","Ylli Haruni","$30","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/crooked-trump-ylli-haruni.jpg"
"827","Jonny Lee Miller","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/jonny-lee-miller-greg-joens.jpg"
"828","Conway Twitty","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/conway-twitty-greg-joens.jpg"
"829","Robert Frost","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/robert-frost-greg-joens.jpg"
"830","The Empty Room","Andrew Hitchen","$18","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-empty-room-andrew-hitchen.jpg"
"831","Tracy Morgan","Greg Joens","$300","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tracy-morgan-greg-joens.jpg"
"832","Inside The Snow Globe","Andrew Hitchen","$19","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/inside-the-snow-globe-andrew-hitchen.jpg"
"833","Joe Dimaggio","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/joe-dimaggio-greg-joens.jpg"
"834","John Steinbeck","Greg Joens","$400","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/john-steinbeck-greg-joens.jpg"
"835","Yogi Berra","Greg Joens","$100","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/yogi-berra-greg-joens.jpg"
"836","Ant","Greg Joens","$13","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ant-greg-joens.jpg"
