"","Artista","Nombre_Obra","Precio","Año","Galeria","Imagen","Medio"
"1","Salvatore Nobili","The Martyrdom of Saint Valeria and Saint Martial","985,000 US$","1895","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_864643_resize_salvatore-nobili.asp?width=130&maxheight=130","escultura"
"5","Albert Cheuret","Console","300,000-400,000 US$","circa 1925","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_865877_resize_albert-cheuret.asp?width=130&maxheight=130","escultura"
"6","Donato Barcaglia","Children at Play","228,500 US$","circa 1874","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1126550_resize_donato-barcaglia.asp?width=130&maxheight=130","escultura"
"8","Pablo Picasso","Femme assise","150,000-175,000 EUR (184,026-186,567 US$)","1908","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1097466_resize_pablo-picasso.asp?width=130&maxheight=130","escultura"
"9","Jules-Felix Coutan","Music","165,000 US$","circa 1880","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1126561_resize_jules-felix-coutan.asp?width=130&maxheight=130","escultura"
"16","Eric Fischl","Untitled (Tumbling Woman II)","125,000 US$","2015","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1028328_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"17","Auguste Rodin","Néréides, grand modèle","100,000-150,000 EUR (122,684-159,915 US$)","1968","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1067837_resize_auguste-rodin.asp?width=130&maxheight=130","escultura"
"21","Iole De Freitas","Untitled","100,000 US$","2010","Galeria Raquel Arnaud","http://images.artnet.com/artwork_images_424668930_743422_resize_iole-de-freitas.asp?width=130&maxheight=130","escultura"
"23","Waltercio Caldas","Naipe (Suit)","100,000 US$","2008","Galeria Raquel Arnaud","http://images.artnet.com/artwork_images_424668930_746167_resize_waltercio-caldas.asp?width=130&maxheight=130","escultura"
"24","Jean Dunand","Two-Handled Lacquered Tray Table","100,000 US$","1925","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_906515_resize_jean-dunand.asp?width=130&maxheight=130","escultura"
"25","Léon Albert Marie de Leyritz","Black Patinated Lap Cubistic Stone Sculpture of Male Nude","100,000 US$","circa 1928","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_943386_resize_leon-albert-marie-de-leyritz.asp?width=130&maxheight=130","escultura"
"28","Susumu Shingu","Arbre flottant","80,000 EUR (98,147 US$)","2006","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_721515_resize_susumu-shingu.asp?width=130&maxheight=130","escultura"
"31","Ossip Zadkine","La femme inconnue","75,000-100,000 EUR (92,013-106,610 US$)","1966","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1112328_resize_ossip-zadkine.asp?width=130&maxheight=130","escultura"
"33","Ferdinand Parpan","Le grand taureau chargeant","75,000-100,000 EUR (92,013-106,610 US$)","1961","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1070881_resize_ferdinand-parpan.asp?width=130&maxheight=130","escultura"
"41","Eric Fischl","Untitled (Tumbling Woman)","79,000 US$","2012","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1028327_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"42","Eric Fischl","Untitled (Arching Woman)","79,000 US$","2011","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1016501_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"45","Kenneth Armitage","Table E","55,000 GBP (77,356 US$)","1969","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_824750_resize_kenneth-armitage.asp?width=130&maxheight=130","escultura"
"52","Aya Toshikawa","""SHUYA5"" Serie of 5 LOVEDOLLS 130cm","75,000-100,000 US$","2015","Galerie Jacob Paulett","http://images.artnet.com/artwork_images_425936611_1021973_resize_aya-toshikawa.asp?width=130&maxheight=130","escultura"
"53","Aya Toshikawa","""YUMI2"" . Serie of 5 ""LoveDolls""","75,000-100,000 US$","2015","Galerie Jacob Paulett","http://images.artnet.com/artwork_images_425936611_1021976_resize_aya-toshikawa.asp?width=130&maxheight=130","escultura"
"55","Louis (Pierre) Rigal","Female Nude","75,000-100,000 US$","1924","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_931672_resize_louis-pierre-rigal.asp?width=130&maxheight=130","escultura"
"56","Sandra Cinto","Untitled","75,000 US$","2016","Graphicstudio/U.S.F.","http://images.artnet.com/artwork_images_3274519_1072043_resize_sandra-cinto.asp?width=130&maxheight=130","escultura"
"59","Ann Christopher","The Lines Remain","50,000 GBP (70,323 US$)","1991","Pangolin London","http://images.artnet.com/artwork_images_425918258_1074550_resize_ann-christopher.asp?width=130&maxheight=130","escultura"
"64","Gianfranco Meggiato","Stella del Sud","65,000 US$","2015","Boccara Art","http://images.artnet.com/artwork_images_425936954_1142303_resize_gianfranco-meggiato.asp?width=130&maxheight=130","escultura"
"65","Charles Hinman","Sprinter","65,000 US$","1980","Vertu Fine Art","http://images.artnet.com/artwork_images_424570465_825650_resize_charles-hinman.asp?width=130&maxheight=130","escultura"
"66","Eric Fischl","Squatting Woman With Hand Up","65,000 US$","2016","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092601_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"67","Eric Fischl","Dancer","65,000 US$","2007","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092602_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"68","Eric Fischl","Squatting Woman With Hand Up","65,000 US$","2012","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092610_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"69","Antonio Piazza","Carrara Figure","64,500 US$","circa 1890","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1135757_resize_antonio-piazza.asp?width=130&maxheight=130","escultura"
"70","Goldscheider (Co.)","Boy Fishing Terracotta Statue","64,500 US$","circa 1893","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1118139_resize_goldscheider-co.asp?width=130&maxheight=130","escultura"
"71","Frank Dobson","Rhoda","45,000 GBP (63,291 US$)","1930","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1039811_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"72","Frank Dobson","Squatting Female Figure with Pitcher","45,000 GBP (63,291 US$)","1944","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1044459_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"73","Ossip Zadkine","Femme accroupie","50,000-75,000 EUR (61,342-84,251 US$)","circa 1937","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1130922_resize_ossip-zadkine.asp?width=130&maxheight=130","escultura"
"75","Jacques Hérold","La forêt","50,000-75,000 EUR (61,342-79,957 US$)","1946","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1092432_resize_jacques-herold.asp?width=130&maxheight=130","escultura"
"76","Susumu Shingu","Astral Rhythm","50,000 EUR (61,342 US$)","2012","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_761480_resize_susumu-shingu.asp?width=130&maxheight=130","escultura"
"81","Émile Louis Picault","La Défense Du Foyer","58,500 US$","circa 1890","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1118170_resize_emile-louis-picault.asp?width=130&maxheight=130","escultura"
"85","Ann Christopher","The Edge of Light","40,000-50,000 GBP (56,259-62,251 US$)","2002","Pangolin London","http://images.artnet.com/artwork_images_425918258_472315_resize_ann-christopher.asp?width=130&maxheight=130","escultura"
"87","Roger Reutimann","Perception #11","56,000 US$","2013-2014","HOHMANN FINE ART","http://images.artnet.com/artwork_images_424199342_1050049_resize_roger-reutimann.asp?width=130&maxheight=130","escultura"
"92","Roger Reutimann","Perception #3","52,000 US$","2013-2014","HOHMANN FINE ART","http://images.artnet.com/artwork_images_424199342_1050029_resize_roger-reutimann.asp?width=130&maxheight=130","escultura"
"94","Vincent Szarek","Heavy Bag","50,000-75,000 US$","2012","Galerie Clemens Gunzer","http://images.artnet.com/artwork_images_425935170_820005_resize_vincent-szarek.asp?width=130&maxheight=130","escultura"
"95","Gleb Derujinsky","Nude","50,000-75,000 US$","1928","Russian Art Salon","http://images.artnet.com/artwork_images_425932313_729570_resize_gleb-derujinsky.asp?width=130&maxheight=130","escultura"
"96","Aristide Colotte","French Art Deco Carved & Etched Glass Sculpture","50,000-60,000 US$","1930","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_1067401_resize_aristide-colotte.asp?width=130&maxheight=130","escultura"
"98","Recycle Group","Battle","50,000-75,000 US$","2015","Triumph Gallery","http://images.artnet.com/artwork_images_425547105_1081595_resize_recycle-group.asp?width=130&maxheight=130","escultura"
"99","Recycle Group","Servers","50,000-75,000 US$","2014-2015","Triumph Gallery","http://images.artnet.com/artwork_images_425547105_1081598_resize_recycle-group.asp?width=130&maxheight=130","escultura"
"101","Lori Hersberger","Intergalactic Totem No.27","50,000-75,000 US$","2012","Galerie Clemens Gunzer","http://images.artnet.com/artwork_images_425935170_820202_resize_lori-hersberger.asp?width=130&maxheight=130","escultura"
"102","Lori Hersberger","Intergalactic Totem No.17","50,000-75,000 US$","2012","Galerie Clemens Gunzer","http://images.artnet.com/artwork_images_425935170_820013_resize_lori-hersberger.asp?width=130&maxheight=130","escultura"
"105","Eric Fischl","Swimmer at Rest - Study","50,000 US$","1996","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1028329_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"106","Jean Besnard","Table Lamp","50,000-75,000 US$","circa 1923","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_829239_resize_jean-besnard.asp?width=130&maxheight=130","escultura"
"107","René Magritte","Souvenir de Voyage","50,000-75,000 US$","2014","Art Wanson Group","http://images.artnet.com/artwork_images_425544421_888251_resize_rene-magritte.asp?width=130&maxheight=130","escultura"
"109","Frank Dobson","Reclining Nude Figure","35,000 GBP (49,226 US$)","1928","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1069081_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"114","Henri Laurens","Femme couchée de dos","40,000-50,000 EUR (49,074-53,305 US$)","1921","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1112268_resize_henri-laurens.asp?width=130&maxheight=130","escultura"
"115","Susumu Shingu","Night Flight","40,000 EUR (49,074 US$)","2012","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_792073_resize_susumu-shingu.asp?width=130&maxheight=130","escultura"
"117","Martin (Bogaerts) Desjardins","Bust of Edouard Colbert, Marquis de Villacerf","48,500 US$","circa 1780","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1128425_resize_martin-bogaerts-desjardins.asp?width=130&maxheight=130","escultura"
"118","Neil Clifford","Canada","48,000 US$","2016","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1105209_resize_neil-clifford.asp?width=130&maxheight=130","escultura"
"122","Andy Moses","Geomorphology 1801","45,000 US$","2016","William Turner Gallery","http://images.artnet.com/artwork_images_119685_1088780_resize_andy-moses.asp?width=130&maxheight=130","escultura"
"126","Duchoiselle","La Pêche (Allegory Of Fishing)","44,500 US$","circa 1866","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1128388_resize_duchoiselle.asp?width=130&maxheight=130","escultura"
"127","Andreas Schmitten","prop No. 4","35,000 EUR (42,940 US$)","2017","KÖNIG GALERIE","http://images.artnet.com/artwork_images_424188602_1134977_resize_andreas-schmitten.asp?width=130&maxheight=130","escultura"
"131","Frank Dobson","Lady Dorothea Ashley Cooper","30,000 GBP (42,194 US$)","1933","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1039786_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"132","George Fullard","Pregnant Women","30,000 GBP (42,194 US$)","1959","Pangolin London","http://images.artnet.com/artwork_images_425918258_1097195_resize_george-fullard.asp?width=130&maxheight=130","escultura"
"135","Roger Reutimann","Percepton #8","42,000 US$","2014","HOHMANN FINE ART","http://images.artnet.com/artwork_images_424199342_1101756_resize_roger-reutimann.asp?width=130&maxheight=130","escultura"
"137","Markus Lüpertz","Pegasus","33,000 EUR (40,486 US$)","2013","Korff-Stiftung","http://images.artnet.com/artwork_images_425386264_1128924_resize_markus-lupertz.asp?width=130&maxheight=130","escultura"
"140","Jean Puiforcat","Box","40,000-50,000 US$","circa 1925","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_906507_resize_jean-puiforcat.asp?width=130&maxheight=130","escultura"
"141","Eric Fischl","Kneeling Woman","39,000 US$","2012","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092615_resize_eric-fischl.asp?width=130&maxheight=130","escultura"
"142","Frank Dobson","Study for London Pride (Leisure 3)","26,000 GBP (36,568 US$)","1950","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1039803_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"147","Ann Christopher","Suspended Reflection","25,000 GBP (35,162 US$)","1984","Pangolin London","http://images.artnet.com/artwork_images_425918258_1074560_resize_ann-christopher.asp?width=130&maxheight=130","escultura"
"148","Ralph Brown","Odalisque","25,000 GBP (35,162 US$)","1967-1968","Pangolin London","http://images.artnet.com/artwork_images_425918258_1113945_resize_ralph-brown.asp?width=130&maxheight=130","escultura"
"149","George Fullard","Head","25,000 GBP (35,162 US$)","1961","Pangolin London","http://images.artnet.com/artwork_images_425918258_1097193_resize_george-fullard.asp?width=130&maxheight=130","escultura"
"150","Itzik Asher","The Shepherd","35,000 US$","1991","Objects 20C","http://images.artnet.com/artwork_images_425936716_1103500_resize_itzik-asher.asp?width=130&maxheight=130","escultura"
"153","WhIsBe","Red Resin Gummy","35,000 US$","2016","Oliver Cole Gallery","http://images.artnet.com/artwork_images_425937083_1128670_resize_whisbe.asp?width=130&maxheight=130","escultura"
"156","Frank Gehry","Memory of Sophie Calle's Flower","35,000 US$","2012","William Turner Gallery","http://images.artnet.com/artwork_images_119685_1013820_resize_frank-gehry.asp?width=130&maxheight=130","escultura"
"157","Marine de Soos","Grand Pousseur de Lune","28,100 EUR (34,474 US$)","2012","Artistics","http://images.artnet.com/artwork_images_425935449_885437_resize_marine-de-soos.asp?width=130&maxheight=130","escultura"
"158","Friedrich Goldscheider","Sakka-ha, or she who quenches the thirst","34,500 US$","circa 1929","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1133404_resize_friedrich-goldscheider.asp?width=130&maxheight=130","escultura"
"162","Nicholas Crombach","Macaw","34,000 US$","2012","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1044114_resize_nicholas-crombach.asp?width=130&maxheight=130","escultura"
"164","Paul Wallach","Foe","26,500 EUR (32,511 US$)","2009","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086300_resize_paul-wallach.asp?width=130&maxheight=130","escultura"
"165","Paul Wallach","(t)rois","26,500 EUR (32,511 US$)","2014","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086318_resize_paul-wallach.asp?width=130&maxheight=130","escultura"
"166","Shayne Dark","Entangled - Red","32,000 US$","2016","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1041121_resize_shayne-dark.asp?width=130&maxheight=130","escultura"
"167","Ken Hall","The Hunt","32,000 US$","2015","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1058548_resize_ken-hall.asp?width=130&maxheight=130","escultura"
"169","Shayne Dark","Entangled - Yellow","32,000 US$","2016","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1087058_resize_shayne-dark.asp?width=130&maxheight=130","escultura"
"170","Shayne Dark","Reflections of Nature Series 3","32,000 US$","2016","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1074734_resize_shayne-dark.asp?width=130&maxheight=130","escultura"
"171","Armando Romero","Painted Clown","31,800 US$","2007","FD-Gallery","http://images.artnet.com/artwork_images_425936358_988027_resize_armando-romero.asp?width=130&maxheight=130","escultura"
"172","Olive Susan Wootton","Minotaur Bellowing - Large","22,500 GBP (31,646 US$)","2015","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_949313_resize_olive-susan-wootton.asp?width=130&maxheight=130","escultura"
"173","Markus Lüpertz","Atlas","25,000 EUR (30,671 US$)","2014","Korff-Stiftung","http://images.artnet.com/artwork_images_425386264_1128912_resize_markus-lupertz.asp?width=130&maxheight=130","escultura"
"174","Dani Karavan","Metuman – Octogone","25,000 EUR (30,671 US$)","2014","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_983966_resize_dani-karavan.asp?width=130&maxheight=130","escultura"
"175","Dani Karavan","Halonot – Fenêtres","25,000 EUR (30,671 US$)","2014","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_983970_resize_dani-karavan.asp?width=130&maxheight=130","escultura"
"177","Vincent Szarek","Black Cherries","30,000-50,000 US$","2013","Galerie Clemens Gunzer","http://images.artnet.com/artwork_images_425935170_820003_resize_vincent-szarek.asp?width=130&maxheight=130","escultura"
"178","Ernest Tino Trova","Falling Man/Flapman","30,000-40,000 US$","1970","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_841273_resize_ernest-tino-trova.asp?width=130&maxheight=130","escultura"
"179","Abraham David Christian","Untitled","30,000-50,000 US$","2011","WERKHALLEN I OBERMANN I BURKHARD","http://images.artnet.com/artwork_images_425935381_845093_resize_abraham-david-christian.asp?width=130&maxheight=130","escultura"
"182","Paul Lucchesi","Neptunes Daughter","30,000-50,000 US$","1988","Hanover Square Gallery","http://images.artnet.com/artwork_images_116829_354022_resize_paul-lucchesi.asp?width=130&maxheight=130","escultura"
"183","Shayne Dark","Drawing in Space","30,000 US$","2015","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1041100_resize_shayne-dark.asp?width=130&maxheight=130","escultura"
"184","Shayne Dark","Circular Motion","30,000 US$","2015","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1041111_resize_shayne-dark.asp?width=130&maxheight=130","escultura"
"185","Tim Forbes","Eclipse","30,000 US$","2010","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1137260_resize_tim-forbes.asp?width=130&maxheight=130","escultura"
"186","Recycle Group","Cultural layer. Skeleton","30,000-50,000 US$","2014-2015","Triumph Gallery","http://images.artnet.com/artwork_images_425547105_1081600_resize_recycle-group.asp?width=130&maxheight=130","escultura"
"187","Recycle Group","Noah's Ark","30,000-50,000 US$","2014-2015","Triumph Gallery","http://images.artnet.com/artwork_images_425547105_1081606_resize_recycle-group.asp?width=130&maxheight=130","escultura"
"188","Thomas Röthel","Untitled","30,000-50,000 US$","2014","WERKHALLEN I OBERMANN I BURKHARD","http://images.artnet.com/artwork_images_425935381_875689_resize_thomas-rothel.asp?width=130&maxheight=130","escultura"
"189","Thomas Röthel","Untitled","30,000-50,000 US$","2014","WERKHALLEN I OBERMANN I BURKHARD","http://images.artnet.com/artwork_images_425935381_875690_resize_thomas-rothel.asp?width=130&maxheight=130","escultura"
"190","Nancy Rubins","Bronze Sculpture Number One","30,000 US$","2008","The Frostig Collection","http://images.artnet.com/artwork_images_424648327_482274_resize_nancy-rubins.asp?width=130&maxheight=130","escultura"
"191","John Paul Robinson","Probability B","30,000 US$","2014","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1040346_resize_john-paul-robinson.asp?width=130&maxheight=130","escultura"
"193","Daniel Greene","Times Square with Girder","30,000-40,000 US$","2016","Gallery Henoch","http://images.artnet.com/artwork_images_520_1068178_resize_daniel-greene.asp?width=130&maxheight=130","escultura"
"194","Claudius Linossier","Vase","30,000-50,000 US$","1939","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_936476_resize_claudius-linossier.asp?width=130&maxheight=130","escultura"
"195","Claudius Linossier","Vase","30,000-50,000 US$","1927","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_936477_resize_claudius-linossier.asp?width=130&maxheight=130","escultura"
"196","Frank Dobson","Reclining Nude Figure","20,000 GBP (28,129 US$)","2016","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1039764_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"200","Jedediah Morfit","Self Portrait, With Ambition","28,000 US$","2011","Paradigm Gallery","http://images.artnet.com/artwork_images_425936666_1083287_resize_jedediah-morfit.asp?width=130&maxheight=130","escultura"
"201","JD Hansen","Barrier Meditation","28,000 US$","2015","HOHMANN FINE ART","http://images.artnet.com/artwork_images_424199342_1046965_resize_jd-hansen.asp?width=130&maxheight=130","escultura"
"203","W. W. Hung","Girl With Paper Boats","27,000 US$","2017","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1137223_resize_w-w-hung.asp?width=130&maxheight=130","escultura"
"204","Miguel Branco","Untitled (Monk)","21,000 EUR (25,764 US$)","2015","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1110880_resize_miguel-branco.asp?width=130&maxheight=130","escultura"
"205","Bryan Kneale","Curlew","18,000 GBP (25,316 US$)","2012","Pangolin London","http://images.artnet.com/artwork_images_425918258_1098673_resize_bryan-kneale.asp?width=130&maxheight=130","escultura"
"209","Shayne Dark","Glacial Series: Grouping of Three Drop Stones","25,000 US$","2015","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1041130_resize_shayne-dark.asp?width=130&maxheight=130","escultura"
"212","Arman","Untitled Paintbrushed","25,000 US$","1991","HOHMANN FINE ART","http://images.artnet.com/artwork_images_424199342_1099915_resize_arman.asp?width=130&maxheight=130","escultura"
"214","Zenita Komad","This painting is blackmailing your Ego","20,000-30,000 EUR (24,537-40,102 US$)","2010","Galerie Clemens Gunzer","http://images.artnet.com/artwork_images_425935170_820000_resize_zenita-komad.asp?width=130&maxheight=130","escultura"
"216","Paul Wallach","Higher than Above","20,000 EUR (24,537 US$)","2008-2009","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086302_resize_paul-wallach.asp?width=130&maxheight=130","escultura"
"217","Paul Wallach","Foretold","20,000 EUR (24,537 US$)","2010","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1110879_resize_paul-wallach.asp?width=130&maxheight=130","escultura"
"218","Salvador Dalí","The Space Elephant","20,000-30,000 EUR (24,537-32,780 US$)","1980","Espace Dalí Gallery","http://images.artnet.com/artwork_images_425132173_1126901_resize_salvador-dali.asp?width=130&maxheight=130","escultura"
"219","Salvador Dalí","Space Venus","20,000-30,000 EUR (24,537-32,780 US$)","1984","Espace Dalí Gallery","http://images.artnet.com/artwork_images_425132173_1126897_resize_salvador-dali.asp?width=130&maxheight=130","escultura"
"220","Jenny Wiegmann-Mucchi","Nude with flowing Hair (Akt mit wehendem Haar)","20,000-30,000 EUR (24,537-0 US$)","circa 1920","Galerie Poll","http://images.artnet.com/artwork_images_114901_468185_resize_jenny-wiegmann-mucchi.asp?width=130&maxheight=130","escultura"
"221","Dale Dunning","Odyssey","24,500 US$","2016","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1080407_resize_dale-dunning.asp?width=130&maxheight=130","escultura"
"224","Émile Louis Picault","Bronze Isis","24,500 US$","circa 1880","M.S. Rau Antiques","http://images.artnet.com/artwork_images_892_1121792_resize_emile-louis-picault.asp?width=130&maxheight=130","escultura"
"227","John Paul Robinson","Probability","24,000 US$","2014","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1040338_resize_john-paul-robinson.asp?width=130&maxheight=130","escultura"
"228","Markus Lüpertz","Prometheus","19,500 EUR (23,923 US$)","2009","Korff-Stiftung","http://images.artnet.com/artwork_images_425386264_1128936_resize_markus-lupertz.asp?width=130&maxheight=130","escultura"
"229","Romain Langlois","Contenant","18,700 EUR (22,942 US$)","2014","Artistics","http://images.artnet.com/artwork_images_425935449_861756_resize_romain-langlois.asp?width=130&maxheight=130","escultura"
"231","Tim Forbes","Echo II","22,500 US$","2014","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1137308_resize_tim-forbes.asp?width=130&maxheight=130","escultura"
"232","Densaburou Oku","Fish Sculpture","22,500 US$","circa 1985","Objects 20C","http://images.artnet.com/artwork_images_425936716_1055985_resize_densaburou-oku.asp?width=130&maxheight=130","escultura"
"234","JD Hansen","Pinot","22,000 US$","2015","HOHMANN FINE ART","http://images.artnet.com/artwork_images_424199342_1046978_resize_jd-hansen.asp?width=130&maxheight=130","escultura"
"237","Mark Birksted","Reclining Figure No 2","22,000 US$","2016","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1059506_resize_mark-birksted.asp?width=130&maxheight=130","escultura"
"238","Judas Ullulaq","Hunter Riding Whale","22,000 US$","circa 1996","Objects 20C","http://images.artnet.com/artwork_images_425936716_1055993_resize_judas-ullulaq.asp?width=130&maxheight=130","escultura"
"241","Kevin Barrett","Velocity","21,500 US$","2016","C Fine Art","http://images.artnet.com/artwork_images_424459324_1038361_resize_kevin-barrett.asp?width=130&maxheight=130","escultura"
"249","Kevin Barrett","Grove","21,000 US$","2016","C Fine Art","http://images.artnet.com/artwork_images_424459324_1078572_resize_kevin-barrett.asp?width=130&maxheight=130","escultura"
"250","Marine de Soos","The Vessel of the Desert","17,000 EUR (20,856 US$)","2015","Artistics","http://images.artnet.com/artwork_images_425935449_985247_resize_marine-de-soos.asp?width=130&maxheight=130","escultura"
"251","Frank Dobson","Study for London Pride (Leisure 3)","14,500 GBP (20,394 US$)","2016","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1039759_resize_frank-dobson.asp?width=130&maxheight=130","escultura"
"255","Vincent Szarek","Gravity Map","20,000-30,000 US$","2014","Galerie Ruzicska","http://images.artnet.com/artwork_images_424469053_882648_resize_vincent-szarek.asp?width=130&maxheight=130","escultura"
"256","Zenita Komad","Schlüsselbild","20,000-30,000 US$","2012","Galerie Clemens Gunzer","http://images.artnet.com/artwork_images_425935170_819999_resize_zenita-komad.asp?width=130&maxheight=130","escultura"
"257","Etienne Boethy","Adam, Eve et Le Serpent","20,000-30,000 US$","created 1939","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_936481_resize_etienne-boethy.asp?width=130&maxheight=130","escultura"
"258","Recycle Group","Noah's Ark 1 (detail 2)","20,000-30,000 US$","2015","Triumph Gallery","http://images.artnet.com/artwork_images_425547105_1081605_resize_recycle-group.asp?width=130&maxheight=130","escultura"
"259","Recycle Group","""Mmmmmmmm... Donut!""","20,000-30,000 US$","2013","Triumph Gallery","http://images.artnet.com/artwork_images_425547105_1081603_resize_recycle-group.asp?width=130&maxheight=130","escultura"
"260","Rick Lapointe","Arbusto","20,000 US$","2010","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1137331_resize_rick-lapointe.asp?width=130&maxheight=130","escultura"
"261","Alexandra Gestin","Sumo D","20,000-30,000 US$","2013","Galerie Mark Hachem","http://images.artnet.com/artwork_images_424745506_788790_resize_alexandra-gestin.asp?width=130&maxheight=130","escultura"
"262","Niclas Castello","The Kiss: White Gold","20,000-30,000 US$","2015","Avant Gallery","http://images.artnet.com/artwork_images_425932920_975275_resize_niclas-castello.asp?width=130&maxheight=130","escultura"
"263","Niclas Castello","The Kiss: Gilded 24 Carat Gold Leaf","20,000-30,000 US$","2014-2015","Avant Gallery","http://images.artnet.com/artwork_images_425932920_975274_resize_niclas-castello.asp?width=130&maxheight=130","escultura"
"266","Ron English","""VANITY STARWARS"" 150cm","20,000-30,000 US$","2011","Galerie Jacob Paulett","http://images.artnet.com/artwork_images_425936611_1022595_resize_ron-english.asp?width=130&maxheight=130","escultura"
