"","Artista","Nombre_Obra","Precio","Año","Galeria","Imagen","Medio"
"4110","Banksy","CND Soldiers","45,000 US$","2005","Fine Art Mia","http://images.artnet.com/artwork_images_425935558_1041041_resize_banksy.asp?width=130&maxheight=130","Trabajo en papel"
"4211","Frederick Brosen","Via del Portico d'Ottavia","40,000 US$","2015","Hirschl & Adler Galleries","http://images.artnet.com/artwork_images_529_1000267_resize_frederick-brosen.asp?width=130&maxheight=130","Trabajo en papel"
"465","John Piper","Bishopstone Church","28,000 GBP (39,381 US$)","1946-1947","Portland Gallery","http://images.artnet.com/artwork_images_160358_1041175_resize_john-piper.asp?width=130&maxheight=130","Trabajo en papel"
"496","Nicolas de Staël","Composition","30,000-40,000 EUR (36,805-42,644 US$)","1945","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1103471_resize_nicolas-de-stael.asp?width=130&maxheight=130","Trabajo en papel"
"5411","Edward Penfield","President Cleveland, Saturday Evening Post Cover","36,500 US$","circa 1908","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1105553_resize_edward-penfield.asp?width=130&maxheight=130","Trabajo en papel"
"6111","Zarina Hashmi","Untitled","35,000 US$","2016","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086099_resize_zarina-hashmi.asp?width=130&maxheight=130","Trabajo en papel"
"657","Rui Moreira","Machine of Entangling Landscapes VI","25,000 EUR (30,671 US$)","2011","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_805023_resize_rui-moreira.asp?width=130&maxheight=130","Trabajo en papel"
"678","Zheng Lianjie","Cangyan in Autumn #2","30,000-50,000 US$","2003","E-Moderne Gallerie","http://images.artnet.com/artwork_images_425935977_969484_resize_zheng-lianjie.asp?width=130&maxheight=130","Trabajo en papel"
"688","Zheng Lianjie","0 degree Scenery #1","30,000-50,000 US$","2009","E-Moderne Gallerie","http://images.artnet.com/artwork_images_425935977_969482_resize_zheng-lianjie.asp?width=130&maxheight=130","Trabajo en papel"
"705","You Si","Jungle","30,000-50,000 US$","2014","E-Moderne Gallerie","http://images.artnet.com/artwork_images_425935977_977798_resize_you-si.asp?width=130&maxheight=130","Trabajo en papel"
"727","Alice Barber Stephens","Cream of Wheat Advertisement","29,000 US$","1908","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1087452_resize_alice-barber-stephens.asp?width=130&maxheight=130","Trabajo en papel"
"766","Rui Moreira","Our Lady of Abortion II","22,000 EUR (26,991 US$)","2007","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1110878_resize_rui-moreira.asp?width=130&maxheight=130","Trabajo en papel"
"8111","Giovanni Boldini","A Young Lady in Profile","25,000 US$","circa 1905","Mark Murray Fine Paintings","http://images.artnet.com/artwork_images_777_844066_resize_giovanni-boldini.asp?width=130&maxheight=130","Trabajo en papel"
"826","Zarina Hashmi","Broken Crescent","25,000 US$","2016","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086108_resize_zarina-hashmi.asp?width=130&maxheight=130","Trabajo en papel"
"866","Chu Teh-Chun","Composition","20,000-30,000 EUR (24,537-31,983 US$)","1982","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1116651_resize_chu-teh-chun.asp?width=130&maxheight=130","Trabajo en papel"
"877","Damien Hirst","The Souls on Jacobs Ladder take their flight (Small Green)","24,000 US$","2007","Vertu Fine Art","http://images.artnet.com/artwork_images_424570465_825653_resize_damien-hirst.asp?width=130&maxheight=130","Trabajo en papel"
"9210","Rembrandt van Rijn","The Angel Departing from the Family of Tobias","22,000 US$","1641","Kiechel Fine Art","http://images.artnet.com/artwork_images_143276_142702_resize_rembrandt-van-rijn.asp?width=130&maxheight=130","Trabajo en papel"
"959","Rebecca Horn","Untitled","21,750 US$","2010","Baldwin Gallery","http://images.artnet.com/artwork_images_111_683973_resize_rebecca-horn.asp?width=130&maxheight=130","Trabajo en papel"
"965","Rebecca Horn","Untitled","21,750 US$","2010","Baldwin Gallery","http://images.artnet.com/artwork_images_111_683969_resize_rebecca-horn.asp?width=130&maxheight=130","Trabajo en papel"
"976","Rebecca Horn","Untitled","21,750 US$","2010","Baldwin Gallery","http://images.artnet.com/artwork_images_111_683971_resize_rebecca-horn.asp?width=130&maxheight=130","Trabajo en papel"
"10211","Jankel Adler","Woman on blue chair","15,000 GBP (21,097 US$)","circa 1940","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_868311_resize_jankel-adler.asp?width=130&maxheight=130","Trabajo en papel"
"1048","Gugger Petter","Woman With Red Hair","21,000 US$","2016","Tansey Contemporary","http://images.artnet.com/artwork_images_425936904_1072352_resize_gugger-petter.asp?width=130&maxheight=130","Trabajo en papel"
"1056","Lore Bert","Golden points on red","16,500 EUR (20,243 US$)","2014","Galería Ethra","http://images.artnet.com/artwork_images_425936844_1062325_resize_lore-bert.asp?width=130&maxheight=130","Trabajo en papel"
"1079","Kim McCarty","Untitled (Green)","20,000 US$","2015","New York Academy of Art","http://images.artnet.com/artwork_images_425883860_1041097_resize_kim-mccarty.asp?width=130&maxheight=130","Trabajo en papel"
"1085","Zheng Lianjie","Untitled","20,000-30,000 US$","1994","E-Moderne Gallerie","http://images.artnet.com/artwork_images_425935977_1137800_resize_zheng-lianjie.asp?width=130&maxheight=130","Trabajo en papel"
"11010","George Boorujy","Florida II (Hurricane Andrew)","20,000-30,000 US$","2010","P.P.O.W.","http://images.artnet.com/artwork_images_822_805415_resize_george-boorujy.asp?width=130&maxheight=130","Trabajo en papel"
"11411","Zarina Hashmi","Untitled","20,000 US$","2015","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086105_resize_zarina-hashmi.asp?width=130&maxheight=130","Trabajo en papel"
"1158","Zarina Hashmi","Untitled","20,000 US$","2013","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086096_resize_zarina-hashmi.asp?width=130&maxheight=130","Trabajo en papel"
"1168","Zarina Hashmi","Untitled","20,000 US$","2015","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_1086106_resize_zarina-hashmi.asp?width=130&maxheight=130","Trabajo en papel"
"1176","Frank Dobson","Romantic, Drawing for cat.121","14,000 GBP (19,691 US$)","1935","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1044441_resize_frank-dobson.asp?width=130&maxheight=130","Trabajo en papel"
"1228","Guillermo Kuitca","Théâtre des Champs-Elysées","19,000 US$","2004","Soraya Cartategui Fine Art","http://images.artnet.com/artwork_images_425936799_1057776_resize_guillermo-kuitca.asp?width=130&maxheight=130","Trabajo en papel"
"1237","Wladyslaw Theodor Benda","Mindy","18,500 US$","circa 1915","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1043536_resize_wladyslaw-theodor-benda.asp?width=130&maxheight=130","Trabajo en papel"
"1246","Frederick Brosen","Via Della Spada","18,500 US$","2015","Hirschl & Adler Galleries","http://images.artnet.com/artwork_images_529_1000273_resize_frederick-brosen.asp?width=130&maxheight=130","Trabajo en papel"
"1257","Hanns Schimansky","Untitled","15,000 EUR (18,403 US$)","2009","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_983989_resize_hanns-schimansky.asp?width=130&maxheight=130","Trabajo en papel"
"12611","Rui Moreira","L'Air du Matin I (d'après Ligeti)","15,000 EUR (18,403 US$)","2012","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_867313_resize_rui-moreira.asp?width=130&maxheight=130","Trabajo en papel"
"1278","Susumu Shingu","Small Banquet","15,000 EUR (18,403 US$)","2012","Galerie Jeanne Bucher Jaeger","http://images.artnet.com/artwork_images_423940689_761486_resize_susumu-shingu.asp?width=130&maxheight=130","Trabajo en papel"
"13112","Stuart Davis","Drawing for “Composition with Boats”","18,000 US$","1932","Hirschl & Adler Galleries","http://images.artnet.com/artwork_images_529_1045124_resize_stuart-davis.asp?width=130&maxheight=130","Trabajo en papel"
"1336","James Montgomery Flagg","Young Woman Contemplates Her Future: Romance vs. Money","18,000 US$","1915","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1094364_resize_james-montgomery-flagg.asp?width=130&maxheight=130","Trabajo en papel"
"1357","Norman Mills Price","The Whistling Cat","17,500 US$","circa 1931","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1105544_resize_norman-mills-price.asp?width=130&maxheight=130","Trabajo en papel"
"1366","Jean Fautrier","Untitled","14,000 EUR (17,176 US$)","1944","Galerie Di Meo","http://images.artnet.com/artwork_images_114751_312446_resize_jean-fautrier.asp?width=130&maxheight=130","Trabajo en papel"
"13811","Frank Dobson","Woman with Towel","12,000 GBP (16,878 US$)","1943","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1039797_resize_frank-dobson.asp?width=130&maxheight=130","Trabajo en papel"
"1398","Mr. Brainwash","Kate Moss","12,000 GBP (16,878 US$)","2013","London Westbank","http://images.artnet.com/artwork_images_425935441_948351_resize_mr-brainwash.asp?width=130&maxheight=130","Trabajo en papel"
"1408","Jankel Adler","Woman with cat","12,000 GBP (16,878 US$)","circa 1940","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_868277_resize_jankel-adler.asp?width=130&maxheight=130","Trabajo en papel"
"1439","John Steuart Curry","The Prairie Fire","16,000 US$","1940","Kiechel Fine Art","http://images.artnet.com/artwork_images_143276_597926_resize_john-steuart-curry.asp?width=130&maxheight=130","Trabajo en papel"
"1445","Howard Chandler Christy","Redbook Story Illustration","16,000 US$","circa 1924","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1078877_resize_howard-chandler-christy.asp?width=130&maxheight=130","Trabajo en papel"
"1456","Yiching Chen","Quiétude","12,900 EUR (15,826 US$)","2007","Artistics","http://images.artnet.com/artwork_images_425935449_912514_resize_yiching-chen.asp?width=130&maxheight=130","Trabajo en papel"
"1466","Karl Blossfeldt","Urformen der Kunst portfolio","11,000 GBP (15,471 US$)","1928","Atlas Gallery","http://images.artnet.com/artwork_images_141083_1065244_resize_karl-blossfeldt.asp?width=130&maxheight=130","Trabajo en papel"
"1477","Lore Bert","Coloured Rosettes (2)","12,500 EUR (15,336 US$)","2005","Galería Ethra","http://images.artnet.com/artwork_images_425936844_1062321_resize_lore-bert.asp?width=130&maxheight=130","Trabajo en papel"
"1497","Tony Fitzpatrick","Autumn Warbles","15,000 US$","2016","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092571_resize_tony-fitzpatrick.asp?width=130&maxheight=130","Trabajo en papel"
"15112","Maxfield Parrish","End Papers for ""Arabian Nights""","15,000 US$","circa 1909","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1136840_resize_maxfield-parrish.asp?width=130&maxheight=130","Trabajo en papel"
"1559","David Row","Raw Material: Natural (V)","15,000 US$","2013","Two Palms","http://images.artnet.com/artwork_images_423788132_977492_resize_david-row.asp?width=130&maxheight=130","Trabajo en papel"
"1565","David Row","Raw Material: Phi (III)","15,000 US$","2013","Two Palms","http://images.artnet.com/artwork_images_423788132_977494_resize_david-row.asp?width=130&maxheight=130","Trabajo en papel"
"1606","Per Kirkeby","Untitled","15,000 US$","1983","Gallery Schlesinger","http://images.artnet.com/artwork_images_425934258_1033006_resize_per-kirkeby.asp?width=130&maxheight=130","Trabajo en papel"
"16111","Sandro Chia","Dolce Vita","15,000-18,000 US$","1990","IDF Art Consultants","http://images.artnet.com/artwork_images_425151133_323070_resize_sandro-chia.asp?width=130&maxheight=130","Trabajo en papel"
"16211","Ivan Nikolaevich Kramskoy","Portrait of the Artist’s Daughter, Sofiya Ivanovna Kramskaya","15,000 US$","1914","Russian Art Salon","http://images.artnet.com/artwork_images_425932313_938037_resize_ivan-nikolaevich-kramskoy.asp?width=130&maxheight=130","Trabajo en papel"
"1648","Theresa Ferber Bernstein","Gloucester Reminder","15,000 US$","1924","Sragow Gallery","http://images.artnet.com/artwork_images_164201_822613_resize_theresa-ferber-bernstein.asp?width=130&maxheight=130","Trabajo en papel"
"1665","Tony Fitzpatrick","Bird of the Broken Jazz (Black Naped Oriole)","15,000 US$","2016","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092582_resize_tony-fitzpatrick.asp?width=130&maxheight=130","Trabajo en papel"
"1679","Tony Fitzpatrick","The Last Chance Birds","15,000 US$","2016","HEXTON Modern and Contemporary","http://images.artnet.com/artwork_images_425936618_1092865_resize_tony-fitzpatrick.asp?width=130&maxheight=130","Trabajo en papel"
"1685","Patrick Archer","Rider Classicus","14,500 US$","2005","Objects 20C","http://images.artnet.com/artwork_images_425936716_1035082_resize_patrick-archer.asp?width=130&maxheight=130","Trabajo en papel"
"1696","David Jones","Seated Nude","10,000 GBP (14,065 US$)","1927","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_1107869_resize_david-jones.asp?width=130&maxheight=130","Trabajo en papel"
"17111","Grayson Perry","Dior","9,950 GBP (13,994 US$)","2005","Artificial Gallery","http://images.artnet.com/artwork_images_425131993_606215_resize_grayson-perry.asp?width=130&maxheight=130","Trabajo en papel"
"1737","John James Audubon","Purple Martin","14,000 US$","1827","Kiechel Fine Art","http://images.artnet.com/artwork_images_143276_142084_resize_john-james-audubon.asp?width=130&maxheight=130","Trabajo en papel"
"1758","Otto Donald Rogers","Monumental Rock","14,000 US$","1997","Oeno Gallery","http://images.artnet.com/artwork_images_425936731_1040320_resize_otto-donald-rogers.asp?width=130&maxheight=130","Trabajo en papel"
"1768","Fernand Léger","Étude pour La Ville","9,500 GBP (13,361 US$)","1919","The Court Gallery","http://images.artnet.com/artwork_images_425201609_917843_resize_fernand-leger.asp?width=130&maxheight=130","Trabajo en papel"
"1776","Fernand Léger","La Peniche, Etude pour La Ville","9,500 GBP (13,361 US$)","1919","The Court Gallery","http://images.artnet.com/artwork_images_425201609_907937_resize_fernand-leger.asp?width=130&maxheight=130","Trabajo en papel"
"1837","Walter Sickert","The Audience at The Old Middlesex","8,750 GBP (12,307 US$)","1906","The Court Gallery","http://images.artnet.com/artwork_images_425201609_994949_resize_walter-sickert.asp?width=130&maxheight=130","Trabajo en papel"
"1857","Swoon","Yaya","10,000-20,000 EUR (12,268-20,745 US$)","2016","Die Kunstagentin","http://images.artnet.com/artwork_images_425935249_1086906_resize_swoon.asp?width=130&maxheight=130","Trabajo en papel"
"18611","Félix Vallotton","Portrait d'Emile Yung","10,000-15,000 EUR (12,268-15,991 US$)","circa 1893","BAILLY GALLERY","http://images.artnet.com/artwork_images_425936399_1099759_resize_felix-vallotton.asp?width=130&maxheight=130","Trabajo en papel"
"1878","Juan Genovés","Agora","10,000-20,000 EUR (12,268-21,384 US$)","2015","Soraya Cartategui Fine Art","http://images.artnet.com/artwork_images_425936799_1101247_resize_juan-genoves.asp?width=130&maxheight=130","Trabajo en papel"
"1888","Maria Elena González","Skowhegan Birch #2","12,000 US$","2014","Hirschl & Adler Galleries","http://images.artnet.com/artwork_images_529_1010027_resize_maria-elena-gonzalez.asp?width=130&maxheight=130","Trabajo en papel"
"1905","Alexis Rockman","Untitled (Pier)","12,000 US$","2013","New York Academy of Art","http://images.artnet.com/artwork_images_425883860_1041291_resize_alexis-rockman.asp?width=130&maxheight=130","Trabajo en papel"
"19113","Alexis Rockman","Untitled","12,000 US$","2013","New York Academy of Art","http://images.artnet.com/artwork_images_425883860_1041293_resize_alexis-rockman.asp?width=130&maxheight=130","Trabajo en papel"
"1946","Albrecht Dürer","Virgin with the Swaddled Child","12,000 US$","1520","Kiechel Fine Art","http://images.artnet.com/artwork_images_143276_142690_resize_albrecht-durer.asp?width=130&maxheight=130","Trabajo en papel"
"20111","Alice Barber Stephens","Approaching the Castle","11,500 US$","circa 1925","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1087451_resize_alice-barber-stephens.asp?width=130&maxheight=130","Trabajo en papel"
"2039","John Piper","Reclining Nude (Myfanwy)","7,950 GBP (11,181 US$)","1972","Goldmark Gallery","http://images.artnet.com/artwork_images_134590_994052_resize_john-piper.asp?width=130&maxheight=130","Trabajo en papel"
"2056","Harry Anderson","Pioneer American Skiers, 1937 Cord, Great Moments in Early American Motorin","11,000 US$","1937","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1105397_resize_harry-anderson.asp?width=130&maxheight=130","Trabajo en papel"
"2086","Édouard Vuillard","Etude pour 'La grandmere de l'artiste'","7,500 GBP (10,549 US$)","circa 1887-1891","The Court Gallery","http://images.artnet.com/artwork_images_425201609_757600_resize_edouard-vuillard.asp?width=130&maxheight=130","Trabajo en papel"
"21210","John Duncan Fergusson","Study of a Dancer","7,500 GBP (10,549 US$)","circa 1919-1920","Portland Gallery","http://images.artnet.com/artwork_images_160358_876845_resize_john-duncan-fergusson.asp?width=130&maxheight=130","Trabajo en papel"
"2145","Birger Sandzen","Trees Along a River - Estes Park Colorado","10,500 US$","1931","Kiechel Fine Art","http://images.artnet.com/artwork_images_143276_648891_resize_birger-sandzen.asp?width=130&maxheight=130","Trabajo en papel"
"2159","Everett Shinn","Illustration for Toby Tyler: Ten Weeks with the Circus","10,500 US$","circa 1937","The Illustrated Gallery","http://images.artnet.com/artwork_images_425936119_1087453_resize_everett-shinn.asp?width=130&maxheight=130","Trabajo en papel"
"2176","Rudolf zur Lippe","Tanikawa","8,500 EUR (10,428 US$)","2012","Werkstattgalerie","http://images.artnet.com/artwork_images_425936641_1023332_resize_rudolf-zur-lippe.asp?width=130&maxheight=130","Trabajo en papel"
"2197","Mr. Brainwash","Keep Creating","7,250 GBP (10,197 US$)","2013","London Westbank","http://images.artnet.com/artwork_images_425935441_948354_resize_mr-brainwash.asp?width=130&maxheight=130","Trabajo en papel"
"2206","Scott Bluedorn","North Brother Island","10,000 US$","2016","Roman Fine Art","http://images.artnet.com/artwork_images_425937031_1119107_resize_scott-bluedorn.asp?width=130&maxheight=130","Trabajo en papel"
"22110","Scott Bluedorn","The Ruins - Forbidden Islands series","10,000 US$","2016","Roman Fine Art","http://images.artnet.com/artwork_images_425937031_1119109_resize_scott-bluedorn.asp?width=130&maxheight=130","Trabajo en papel"
"22211","Scott Bluedorn","Gardiner's Island","10,000 US$","2016","Roman Fine Art","http://images.artnet.com/artwork_images_425937031_1118702_resize_scott-bluedorn.asp?width=130&maxheight=130","Trabajo en papel"
"2238","Scott Bluedorn","Plum Island","10,000 US$","2016","Roman Fine Art","http://images.artnet.com/artwork_images_425937031_1119108_resize_scott-bluedorn.asp?width=130&maxheight=130","Trabajo en papel"
"2248","Robert Motherwell","On the Wing","10,000-20,000 US$","1983-1984","Kelly Gallery","http://images.artnet.com/artwork_images_425935143_817805_resize_robert-motherwell.asp?width=130&maxheight=130","Trabajo en papel"
"2256","Jean Hélion","Abstraction","10,000-20,000 US$","1937","Fromkin Fine Art","http://images.artnet.com/artwork_images_425935072_983221_resize_jean-helion.asp?width=130&maxheight=130","Trabajo en papel"
"2265","Jean Hélion","Equilibre","10,000-20,000 US$","1935","Fromkin Fine Art","http://images.artnet.com/artwork_images_425935072_983220_resize_jean-helion.asp?width=130&maxheight=130","Trabajo en papel"
"2279","Wang Tiande","Digital No. 09-sa28","10,000-20,000 US$","2009","E-Moderne Gallerie","http://images.artnet.com/artwork_images_425935977_1057573_resize_wang-tiande.asp?width=130&maxheight=130","Trabajo en papel"
"2285","Wang Tiande","Digital No. 09-sa28","10,000-20,000 US$","2009","E-Moderne Gallerie","http://images.artnet.com/artwork_images_425935977_1057574_resize_wang-tiande.asp?width=130&maxheight=130","Trabajo en papel"
"2296","Frida Baranek","Long Flat Swirls Ochre","10,000-20,000 US$","2010","Galeria Raquel Arnaud","http://images.artnet.com/artwork_images_424668930_746176_resize_frida-baranek.asp?width=130&maxheight=130","Trabajo en papel"
"2306","Skyler Grey","Street Pegasus","10,000-20,000 US$","2015","Avant Gallery","http://images.artnet.com/artwork_images_425932920_974477_resize_skyler-grey.asp?width=130&maxheight=130","Trabajo en papel"
"23112","Skyler Grey","King Jean-Michel: Payphones X-ist In Heaven","10,000-20,000 US$","2014","Avant Gallery","http://images.artnet.com/artwork_images_425932920_974458_resize_skyler-grey.asp?width=130&maxheight=130","Trabajo en papel"
"2328","Skyler Grey","H: Los Angeles","10,000-20,000 US$","2015","Avant Gallery","http://images.artnet.com/artwork_images_425932920_974465_resize_skyler-grey.asp?width=130&maxheight=130","Trabajo en papel"
"2337","Skyler Grey","Variety","10,000-20,000 US$","2015","Avant Gallery","http://images.artnet.com/artwork_images_425932920_974478_resize_skyler-grey.asp?width=130&maxheight=130","Trabajo en papel"
"23411","Skyler Grey","King Jean-Michel: Lavender","10,000-20,000 US$","2015","Avant Gallery","http://images.artnet.com/artwork_images_425932920_974479_resize_skyler-grey.asp?width=130&maxheight=130","Trabajo en papel"
"2358","Zinaïda Evguenievna Sérébriakova","Portrait of ballerina Tamara Karsavina","10,000 US$","1915","Russian Art Salon","http://images.artnet.com/artwork_images_425932313_931823_resize_zinaida-evguenievna-serebriakova.asp?width=130&maxheight=130","Trabajo en papel"
