"","artist","title","price","classification","url"
"39","Nik Helbig","Field Of Cats","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/field-of-cats-nik-helbig.jpg"
"40","Crista Forest","Western Horse Painting In Sepia","$37","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/western-horse-in-sepia-crista-forest.jpg"
"41","Meaghan Troup","The Change","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-change-meaghan-troup.jpg"
"42","Elise Palmigiani","Sunset Over The Village","$1,500","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/sunset-over-the-village-elise-palmigiani--.jpg"
"43","Graham Braddock","Comfort Those That Mourn","$3,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/comfort-those-that-mourn-graham-braddock.jpg"
"44","Graszka Paulska","Im In The Shadow Of You","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-private-5/im-in-the-shadow-of-you-graszka-paulska.jpg"
"45","Guido Borelli","La Cascina Sul Lago","$12,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/la-cascina-sul-lago-guido-borelli.jpg"
"46","Roseann Munger","Vermilion","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/vermilion-roseann-munger.jpg"
"47","Mario Pichler","African Buffalo","$57","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/frican-buffalo-mario-pichler.jpg"
"48","Nicklas Gustafsson","Samurai","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/samurai-nicklas-gustafsson.jpg"
"49","Hailey E Herrera","American Buffalo IIi","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/american-buffalo-iii-hailey-e-herrera.jpg"
"50","Erin Hanson","Indian Wells","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/indian-wells-erin-hanson-prints.jpg"
"51","Fremont Thompson","The Occultist","$16","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-occultist-fremont-thompson.jpg"
"52","Steve Goad","Ascension","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ascension-steve-goad.jpg"
"53","Joel Tesch","Beauty In The Breakdown","$699","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/beauty-in-the-breakdown-joel-tesch.jpg"
"54","Mark Fredrickson","24th Annual Waxdeck's Bird Calling Contest","$20","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/24th-annual-waxdecks-bird-calling-contest-mark-fredrickson.jpg"
"55","Robert Poole","Roadside Of Tomorrow","$52","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/3049-robert-poole.jpg"
"56","Nathan Marcy","Pacific Tree Frog In Skunk Cabbage","$14","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/pacific-tree-frog-in-skunk-cabbage-nathan-marcy.jpg"
"57","Kelly Jade King","Tree Of Secrets","$390","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/tree-of-secrets-kelly-jade-king.jpg"
"58","John Collier","Lady Godiva","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/4-lady-godiva-john-collier.jpg"
"59","Richard Moore","Poker Buddies","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/poker-buddies-richard-moore.jpg"
"60","Richard Robinson","Haleiwa","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/haleiwa-richard-robinson.jpg"
"61","Will Bullas","Geek...","$52","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/geek-will-bullas.jpg"
"62","Will Bullas","Fowl Ball...","$52","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/fowl-ball-will-bullas.jpg"
"63","Pat Erickson","On Silent Wings","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/on-silent-wings-pat-erickson.jpg"
"64","Lucie Bilodeau","Portrait Of A Lion","$35","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/portrait-of-a-lion-lucie-bilodeau.jpg"
"65","Graham Gercken","Kangaroo Grazing","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/kangaroo-grazing-graham-gercken.jpg"
"66","Mary Helmreich","Chess And Tequila","$1,975","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/chess-and-tequila-mary-helmreich.jpg"
"67","Mia Tavonatti","Emerge Painting","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/emerge-mia-tavonatti.jpg"
"68","Lucie Bilodeau","Mother's Love","$35","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/mothers-love-lucie-bilodeau.jpg"
"69","Jennifer Lommers","27 Birds","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/27-birds-jennifer-lommers.jpg"
"70","Sheryl Heatherly Hawkins","Evening In Paris","$27","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/evening-in-paris-sheryl-hawkins.jpg"
"71","Steve Mitchell","Cascade","$975","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/cascade-steve-mitchell.jpg"
"72","Will Bullas","Dog Byte...","$52","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/1-dog-byte-will-bullas.jpg"
"73","Krista Bros","Blue","$1,655","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/blue-kristina-broza.jpg"
"74","Paul Krapf","the Coyote - God's Dog","$37","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-coyote-gods-dog-paul-krapf.jpg"
"75","Leon Zernitsky","Support","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/support-leon-zernitsky.jpg"
"76","Andrew King","Gothic","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/gothic-andrew-king.jpg"
"77","Kristina Vardazaryan","The Big Friendly Giant","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-big-friendly-giant-kristina-vardazaryan.jpg"
"78","Michael Lang","' Jury Of Eight '","$1,295","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/--jury-of-eight--michael-lang.jpg"
"79","Michael Humphries","Let It Glow","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/let-it-glow-michael-humphries.jpg"
"80","Jeanne Newton Schoborg","Over The Edge","$24","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/over-the-edge-jeanne-newton-schoborg.jpg"
"81","Val Byrne","O Heagrain Pub Viewed 115737 Times","$19","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/o-heagrain-pub-in-ennistymon-clare-val-byrne.jpg"
"82","Alfredo Arcia","Mind Games","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/mind-games-alfredo-arcia.jpg"
"83","Leon Zernitsky","Lunch","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/lunch-leon-zernitsky.jpg"
"84","Iain Stewart","The College Street Oak","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-college-street-oak-iain-stewart.jpg"
"85","Ned Shuchter","Bike Life","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/2-bike-life-ned-shuchter.jpg"
"86","Vanessa Bates","I've Got Mine","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/ive-got-mine-vanessa-bates.jpg"
"87","Guido Borelli","stradina a St Paul de Vence","$8,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/stradina-a-st-paul-de-vence-guido-borelli.jpg"
"88","Julie Niemela","Green Blue","$24","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/green-blue-julie-niemela.jpg"
"89","Victoria Kharchenko","Quiet Evening","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/quiet-evening-victoria-kharchenko.jpg"
"90","Karina Llergo","Fire","$35","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/fire-karina-llergo-salto.jpg"
"91","Jeremy Scott","Face Paint 2","$32","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/1-face-paint-2-jeremy-scott.jpg"
"92","John Wyckoff","Three Amigos","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/three-amigos-john-wyckoff.jpg"
"93","Monica Warhol","Ta Ta Telephone","$57","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/ta-ta-telephone-monica-warhol.jpg"
"94","Jen Norton","Pomegranates And Pears","$28","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/pomegranates-and-pears-jen-norton.jpg"
"95","Monica Warhol","Buck Stops Here","$57","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/buck-stops-here-monica-warhol.jpg"
"96","Sharon Freeman","Gathering Greens","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/gathering-greens-sharon-freeman.jpg"
"97","Douglas Simonson","Killer Joe","$500","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/killer-joe-douglas-simonson.jpg"
"98","Pat Erickson","Long Time Partners","$27","Painting","https://fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/long-time-partners-pat-erickson.jpg"
"99","Nathan Miller","The Edge Of Paradise","$2,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-edge-of-paradise-nathan-miller.jpg"
"100","Chuck Pinson","Space For Reflection","$25","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/space-for-reflection-chuck-pinson.jpg"
"101","Setsiri Silapasuwanchai","Abstract Feather","$18","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/abstract-feather-setsiri-silapasuwanchai.jpg"
"102","Stu Shepherd","Encountering Atlantis","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/encountering-atlantis-stu-shepherd.jpg"
"103","Frank Robert Dixon","Lightninghead","$25","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/lightninghead-frank-robert-dixon.jpg"
"104","Mark M  Mellon","Mortalis No. 17","$37","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/mortalis-no-17-mark-m-mellon.jpg"
"105","Alicia VanNoy Call","Kelpie - Oakey","$1,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/kelpie-oakey-alicia-vannoy-call.jpg"
"106","Ricardo Chavez-Mendez","On Sacred Ground Series 4","$18,000","Original","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/on-sacred-ground-series-4-ricardo-chavez-mendez.jpg"
