"","artist","title","price","classification","url"
"2342","Robert Mankoff","O.k., Leave Me, But Just Remember, If You Do I'm","$47","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/ok-leave-me-but-just-remember-if-you-do-im-robert-mankoff.jpg"
"2343","Charles Barsotti","Enemies, Yes, But Doesn't Your Moat Also Keep","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/enemies-yes-but-doesnt-your-moat-also-keep-charles-barsotti.jpg"
"2344","Alex Gregory","He Feels He Can Do More Good Working","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/he-feels-he-can-do-more-good-working-alex-gregory.jpg"
"2345","Charles Barsotti","Come Now, Give The System A Chance","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/come-now-give-the-system-a-chance-charles-barsotti.jpg"
"2346","John LaFree","Dogue De Bordeaux Revolution","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/dogue-de-bordeaux-revolution-john-lafree.jpg"
"2347","David Borchart","Ready, Hans? Deep Breath","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/ready-hans-deep-breath-david-borchar.jpg"
"2348","Paul Noth","Russian Government Monitors Us Elections","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/---paul-not.jpg"
"2349","Alex Gregory","First Stop: Brooklyn","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/first-stop-brooklyn-alex-gregor.jpg"
"2350","Kendra Allenby","I'll Need You To Sign This Binding Agreement","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/ill-need-you-to-sign-this-binding-agreement-kendra-allenb.jpg"
"2351","Peter C. Vey","I Can't Even Begin To Work Out Until I Find","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/i-cant-even-begin-to-work-out-until-i-find-peter-c-ve.jpg"
"2352","Seth Fleishman","New Yorker September 19th, 2016","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/4-untitled-seth-fleishma.jpg"
"2353","Harry Bliss","I Said, 'fetch Chardonnay,' Not 'riesling.'","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/i-said-fetch-chardonnay-not-riesling-harry-blis.jpg"
"2354","Edward Steed","This Is Probably How They Keep Getting In","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/this-is-probably-how-they-keep-getting-in-edward-stee.jpg"
"2355","Mick Stevens","Why Don't You Just Stay And Work","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/why-dont-you-just-stay-and-work-mick-steven.jpg"
"2356","German School","A Map Of The Nurburgring Circuit","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/a-map-of-the-nurburgring-circuit-german-school.jpg"
"2357","Colton","Savannah, Georgia. Charleston, South Carolina","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/savannah-georgia-charleston-south-carolina-colton.jpg"
"2358","Rembrandt Peale","George Washington","$17","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/14-george-washington-rembrandt-peale.jpg"
"2359","Prior Art Design","Apparatus For Treating Air 1906 Carrier Patent Art","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/apparatus-for-treating-air-1906-carrier-patent-art-prior-art-design.jpg"
"2360","Prior Art Design","Carrier Air Conditioner 1916 Patent Art","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/carrier-air-conditioner-1916-patent-art-prior-art-design.jpg"
"2361","John LaFree","Mauras 3412","$27","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/mauras-3412-john-lafree.jpg"
"2362","Edward Fielding","Top Dog Brewing Company Tee","$29","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/top-dog-brewing-company-tee-edward-fielding.jpg"
"2363","Michael Shaw","A Cub Polar Bear Exclaims While Family Hunts","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-cub-polar-bear-exclaims-while-family-hunts-michael-shaw.jpg"
"2364","Gahan Wilson","Somehow, Some Way, We Have To Guide These People","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/53-untitled-gahan-wilson.jpg"
"2365","Alex Gregory","I'll Be Performing The Operation","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/46-untitled-alex-gregory.jpg"
"2366","Frank Cotham","An Unshaven Man Says To Another Man At A Bar","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/an-unshaven-man-says-to-another-man-at-a-bar-frank-cotham.jpg"
"2367","Lee Lorenz","Your Wife Gets The House","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/54-untitled-lee-lorenz.jpg"
"2368","George Booth","Were We Gay?","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/12-untitled-george-booth.jpg"
"2369","Michael Maslin","And When Did You First Realize You Weren't Like","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/50-untitled-michael-maslin.jpg"
"2370","Jason Patterson","I Love You. We All Love You. Now Throw Some","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/21-untitled-jason-patterson.jpg"
"2371","Michael Shaw","More Chateau De Costco?","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/27-untitled-michael-shaw.jpg"
"2372","Harry Bliss","What's Wrong With That Quiet Little Table For Two","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/21-untitled-harry-bliss.jpg"
"2373","Peter C. Vey","Oh, What The Hell, I'll Add Another Zero","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/110-untitled-peter-c-vey.jpg"
"2374","Harry Bliss","Yale Shadow","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/20-untitled-harry-bliss.jpg"
